0,75,150,761,15,21,181,137,42,18,900,167,262,767
1,850,25,60,16,825,48,13,44,850,50,58,134,246
2,75,150,298,16,825,106,69,44,275,689,162,186,857
3,875,14,56,16,850,49,900,46,850,21,900,12,23
4,75,224,676,15,20,254,128,42,15,847,320,395,900
5,22,114,463,7,825,203,100,35,10,540,163,185,681
6,11,21,285,10,300,94,30,21,648,165,45,50,167
7,875,900,52,6,825,57,900,37,875,16,900,11,47
8,125,225,900,15,50,209,391,10,150,900,415,315,900
9,14,60,162,16,850,98,19,45,875,120,61,92,279
10,175,500,900,15,26,216,330,43,75,900,415,228,803
11,875,42,97,16,825,78,13,42,11,60,24,72,215
12,850,37,65,16,825,92,900,45,850,115,80,192,381
13,423,18,185,10,225,72,19,18,250,116,32,34,115
14,38,182,591,15,18,217,121,42,14,724,297,356,900
15,21,84,254,16,825,163,41,44,12,375,192,334,900
16,175,150,900,15,50,203,393,11,67,900,416,336,900
17,875,47,120,16,850,64,40,38,875,149,96,105,440
18,875,113,70,15,825,90,14,44,50,172,61,54,329
19,875,15,85,16,825,51,11,42,875,40,35,34,81
20,75,221,900,15,26,165,310,12,325,900,384,318,900
21,75,271,705,15,19,240,128,42,22,884,341,332,900
22,26,100,487,12,825,230,105,35,11,640,172,213,734
23,16,143,360,16,850,126,44,45,12,399,122,303,900
24,875,27,43,16,825,67,900,44,875,23,14,57,113
25,100,250,900,15,20,238,213,42,225,900,278,303,875
26,36,140,382,16,11,196,60,42,17,425,199,385,900
27,17,85,232,15,825,117,59,42,850,400,146,246,669
28,875,900,51,6,825,52,900,37,875,10,900,11,34
29,875,900,51,2,750,38,14,33,875,31,900,900,14
30,49,80,300,2,75,171,61,12,100,365,90,124,468
31,22,65,499,16,825,189,76,41,875,760,186,202,645
32,250,600,900,15,50,310,357,42,100,900,547,310,900
33,21,60,468,16,825,172,57,41,875,663,164,181,506
34,725,27,35,0,350,34,900,14,649,28,13,12,13
35,75,254,757,15,19,236,133,42,21,889,333,330,900
36,875,900,48,14,800,30,900,37,875,900,12,13,31
37,300,900,14,10,150,21,434,12,150,900,900,875,875
38,875,35,48,16,850,48,900,45,875,47,900,31,86
39,24,164,356,16,850,129,39,45,12,350,107,284,870
40,13,135,155,16,825,121,16,42,850,100,63,185,538
41,225,475,900,15,50,291,324,42,275,900,411,329,875
42,875,29,73,16,825,63,15,44,875,64,83,80,215
43,875,55,96,15,825,89,40,43,850,200,131,109,409
44,19,91,240,16,825,133,40,44,13,391,170,266,854
45,150,18,10,1,50,12,252,6,58,900,29,763,850
46,875,11,94,3,775,62,31,33,875,125,17,23,86
47,100,200,900,15,50,209,410,12,125,900,438,313,900
48,875,31,82,16,825,84,12,44,850,58,39,101,193
49,875,14,88,2,700,35,12,33,900,100,32,33,111
50,850,22,11,16,850,14,900,46,850,12,900,900,12
51,875,900,900,10,500,900,900,30,875,900,900,900,900
52,19,74,223,16,825,129,36,45,11,357,174,286,846
53,28,148,483,15,18,203,105,42,12,646,267,342,900
54,26,58,233,15,10,106,28,42,875,224,36,91,196
55,11,60,150,16,850,102,19,45,875,118,64,95,296
56,872,875,20,0,450,41,900,20,875,13,900,900,15
57,18,79,242,16,825,142,40,45,11,388,187,300,875
58,75,200,401,15,17,166,130,44,18,569,226,252,712
59,16,146,178,15,825,73,32,45,10,242,72,132,466
60,875,26,287,16,825,107,51,39,875,400,86,127,321
61,875,100,141,15,825,82,33,44,22,200,102,140,411
62,23,99,472,11,825,218,98,35,11,624,165,212,742
63,875,31,83,16,825,68,17,42,875,55,122,76,220
64,26,100,487,12,825,230,105,35,11,640,172,213,734
65,14,100,222,15,825,145,44,36,850,300,115,190,487
66,875,13,78,16,825,44,900,42,875,20,30,25,48
67,875,900,900,15,825,900,900,41,850,900,10,875,28
68,875,24,79,16,850,88,17,46,850,39,27,45,108
69,10,59,49,2,75,51,16,12,100,60,900,29,48
70,175,613,900,15,50,292,271,42,21,900,443,321,900
71,23,100,198,15,850,75,26,45,875,125,36,58,228
72,875,60,146,16,850,96,57,38,875,231,122,124,502
73,494,47,400,1,250,96,43,16,775,240,58,73,297
74,875,35,87,16,825,72,19,43,875,56,126,74,221
75,12,116,175,16,825,136,20,43,850,173,115,266,713
76,875,42,47,15,825,48,900,41,850,23,22,79,112
77,23,150,310,15,10,110,61,44,875,449,150,187,714
78,850,26,23,16,825,27,900,45,850,52,44,116,194
79,38,133,366,16,11,201,60,42,18,425,204,388,900
80,15,147,138,15,825,98,23,44,25,150,89,116,400
81,875,166,132,2,75,109,36,12,100,117,41,41,145
82,35,147,381,15,16,201,83,42,14,550,241,326,875
83,75,227,900,15,27,167,291,12,275,900,366,308,900
84,15,62,241,16,825,117,24,42,875,225,76,115,382
85,875,35,85,16,825,73,19,43,875,54,128,74,219
86,150,325,900,15,50,216,428,12,75,900,452,315,900
87,17,100,451,16,825,157,66,42,875,519,147,181,595
88,200,875,12,0,25,900,350,3,40,900,470,855,900
89,875,27,67,16,850,81,22,46,850,39,29,39,106
90,75,182,548,16,11,132,132,44,250,881,261,238,900
91,12,99,226,16,850,67,30,45,875,173,31,79,270
