0,850,114,3,138,13,65
1,11,102,3,495,57,380
2,825,146,3,269,28,222
3,12,140,3,880,149,524
4,11,139,3,874,154,556
5,11,14,0,14,139,701
6,825,62,3,222,29,55
7,825,92,3,31,900,18
8,825,44,3,17,900,900
9,825,132,3,698,93,372
10,825,56,3,28,13,900
11,13,98,3,690,92,412
12,825,153,3,234,26,135
13,13,108,3,712,78,427
14,825,60,3,58,15,900
15,825,76,3,239,35,85
16,825,69,3,22,900,900
17,850,190,3,345,47,106
18,825,151,3,565,69,167
19,825,32,3,900,900,900
20,19,163,3,900,172,661
21,825,70,3,97,900,18
22,825,120,3,125,17,44
23,22,170,3,900,151,861
24,825,52,3,31,900,900
25,825,56,3,20,900,900
26,14,112,3,900,225,272
27,11,137,3,871,152,555
28,825,86,3,76,12,36
29,825,62,3,111,16,44
30,14,115,3,900,180,374
31,825,46,3,900,900,900
32,13,139,3,900,189,632
33,14,101,3,639,95,366
34,825,43,3,900,900,900
35,825,80,3,255,21,123
36,825,33,3,900,900,900
37,825,52,3,36,900,900
38,825,91,3,48,11,24
39,825,37,3,23,900,900
40,825,70,3,142,11,25
41,14,151,3,900,152,775
42,825,46,3,207,23,113
43,850,188,3,344,37,98
44,825,74,3,417,52,138
45,825,134,3,487,50,270
46,825,33,3,900,900,900
47,850,86,3,70,12,18
48,825,83,3,142,15,101
49,13,116,3,859,150,242
50,13,94,3,623,91,372
51,14,144,3,900,119,488
52,825,43,3,900,900,900
53,850,141,3,233,36,223
54,825,124,3,231,49,98
55,825,109,3,205,20,151
56,825,147,3,272,39,192
57,13,117,3,843,85,493
58,825,103,3,144,24,63
59,850,196,3,390,51,123
60,850,20,0,900,900,900
61,825,47,3,26,900,900
62,825,72,3,229,33,84
63,850,104,3,81,14,18
64,850,42,0,900,900,900
65,19,129,3,900,234,325
66,10,121,3,742,115,463
67,825,181,3,296,30,150
68,825,74,3,77,26,14
69,825,65,3,58,900,900
70,17,161,3,900,203,569
71,825,132,3,698,93,372
72,50,191,3,900,168,671
73,825,153,3,565,76,168
74,850,52,3,99,900,42
75,16,154,3,900,195,567
76,825,47,3,900,900,900
77,12,98,3,557,54,356
78,825,108,3,277,39,126
79,25,162,3,900,202,745
80,50,162,3,900,172,585
81,825,51,3,63,900,17
82,825,53,3,99,900,42
83,825,148,3,580,73,169
84,825,78,3,234,34,94
85,825,104,3,154,31,64
86,50,158,3,900,193,778
87,825,133,3,374,20,60
88,825,51,3,16,900,900
89,14,87,3,649,85,376
90,850,74,3,30,900,18
91,825,84,3,165,33,71
92,23,169,3,900,153,863
93,13,119,3,736,84,404
94,18,110,3,895,133,491
95,19,135,3,900,129,619
96,825,99,3,476,53,210
97,50,172,3,900,213,807
98,850,32,3,900,900,900
99,16,155,3,900,200,549
100,825,44,3,52,900,900
101,17,132,3,900,117,770
102,11,109,3,900,157,324
103,825,101,3,146,14,36
104,825,146,3,227,19,56
105,11,122,3,742,124,491
106,15,154,3,900,137,585
107,825,103,3,117,11,33
108,825,47,3,27,900,900
109,15,173,3,900,214,597
110,11,100,3,800,129,347
111,12,98,3,351,44,202
112,825,44,3,17,900,900
113,850,55,3,14,900,19
114,13,145,3,900,195,448
115,10,130,3,870,129,475
116,825,84,3,65,21,99
117,825,86,3,263,38,134
118,10,76,3,532,95,316
119,825,50,3,92,900,40
120,825,42,3,900,900,900
121,825,36,3,24,900,900
122,825,26,3,900,900,900
123,13,102,3,697,91,415
124,825,123,3,900,212,303
125,825,85,3,172,29,29
126,14,155,3,900,141,575
127,825,27,3,900,900,900
128,825,65,3,59,15,11
129,825,163,3,337,49,276
130,16,163,3,900,198,541
131,850,127,3,218,35,207
132,825,50,3,93,900,41
133,825,134,3,598,81,341
134,825,69,3,142,12,26
135,50,199,3,900,170,758
136,825,77,3,254,37,92
