0,675,73,1,218,900,63
1,650,64,1,57,900,900
2,600,62,1,71,885,20
3,12,116,1,108,25,154
4,24,206,1,900,102,619
5,12,156,1,646,54,337
6,12,116,1,284,20,238
7,650,77,1,76,900,17
8,10,198,1,611,72,134
9,24,206,1,900,102,619
10,600,65,1,137,16,19
11,13,152,1,559,60,426
12,650,113,1,116,900,24
13,625,84,1,222,34,73
14,600,60,1,106,15,12
15,625,45,1,24,900,14
16,23,212,1,900,103,626
17,600,64,1,137,16,19
18,650,63,1,57,900,900
19,13,165,1,611,86,376
20,12,119,1,111,23,159
21,625,86,1,235,21,169
22,675,900,1,900,900,900
23,675,37,1,10,900,900
24,675,26,1,36,16,900
25,575,30,1,900,862,900
26,650,71,1,80,900,18
27,27,247,1,900,210,900
28,625,28,1,16,900,14
29,600,29,1,42,892,10
30,625,69,1,164,10,82
31,13,147,1,563,61,425
32,600,27,1,39,891,10
33,11,120,1,440,87,200
34,575,23,1,900,858,900
35,625,125,1,364,38,173
36,12,151,1,606,56,351
37,650,64,1,57,900,900
38,650,148,1,399,38,88
39,650,77,1,82,900,18
40,675,70,1,73,900,15
41,575,36,1,42,846,900
42,650,79,1,82,900,18
43,13,149,1,556,61,424
44,19,157,1,870,125,464
45,625,67,1,164,11,86
46,650,73,1,100,13,104
47,625,182,1,536,38,74
48,675,29,1,38,19,900
49,13,151,1,562,61,424
50,14,92,1,196,900,189
51,650,79,1,80,900,18
52,675,32,1,900,900,900
53,675,53,1,65,35,900
54,675,75,1,100,18,22
55,675,73,1,213,900,57
56,675,60,1,42,900,14
57,600,27,1,15,900,12
58,625,86,1,235,21,169
59,14,140,1,413,31,334
60,625,87,1,188,22,68
61,675,77,1,98,19,10
62,12,118,1,111,25,153
63,600,64,1,137,16,19
64,11,120,1,439,87,200
65,650,58,1,54,900,900
66,600,58,1,102,25,11
67,650,76,1,123,18,24
68,24,136,1,256,16,347
69,675,56,1,28,900,900
70,625,83,1,205,15,23
71,10,198,1,612,72,134
72,12,118,1,109,25,153
73,675,68,1,147,900,65
74,675,104,1,219,11,69
75,625,69,1,181,11,98
76,675,83,1,86,15,44
77,550,46,1,90,17,900
78,675,70,1,209,900,54
79,18,137,1,855,70,572
80,650,79,1,82,900,18
81,650,84,1,85,900,19
82,675,37,1,10,900,900
83,625,57,1,93,900,46
84,650,81,1,83,900,18
85,625,63,1,110,10,73
86,11,103,1,354,71,147
87,675,12,1,19,900,900
88,675,60,1,87,17,20
89,11,119,1,306,22,250
90,12,148,1,489,41,349
91,625,56,1,95,900,48
92,675,48,1,22,900,900
93,650,79,1,74,900,17
94,675,26,1,37,16,900
95,450,54,1,158,41,27
96,600,96,1,86,880,41
97,14,92,1,196,900,189
98,675,900,1,900,900,900
99,675,66,1,141,900,65
100,23,212,1,900,103,626
